image_id,acute_iou,acute_ari,acute_boundary_f1,acute_boundary_iou,v9_iou,v9_ari,v9_boundary_f1,v9_boundary_iou,delta_iou_vs_v9,delta_ari_vs_v9,delta_boundary_f1_vs_v9,delta_boundary_iou_vs_v9,proposal_count_dense,dense_candidate_count,source,switched,ambiguous_flag,abstained_flag,decision_margin,decision_top1_score,decision_top2_score,top1_gain_dense,top2_gain_dense,gain_margin_dense,top1_prob_dense,top2_prob_dense,prob_margin_dense,plausible_candidate_count,support_concentration,selected_support,core_union_iou,final_union_iou,selected_dense_rank,topk_oracle_recoverable,topk_oracle_gain_iou,mask_change_core_to_final,best_pred_score,best_pred_gain,best_pred_prob,audit_case_dir
1,0.9693516360099339,0.9736988820612307,0.976586613256548,0.811310494834149,0.9693516360099339,0.9736988820612307,0.976586613256548,0.811310494834149,0.0,0.0,0.0,0.0,36,12,v9_keep,0,0,0,-0.13709048926830292,0.13709048926830292,0.1305372565984726,0.13709048926830292,0.1305372565984726,0.006553232669830322,0.4960641860961914,0.4948451817035675,0.0012190043926239014,4,0.11696814000606537,0.48817476630210876,0.17944936086529006,0.17944936086529006,0,1,0.00010676519322161404,0.0,0.0,0.0,0.34041735529899597,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/1
101,0.021193756982695624,0.004526497728927097,0.03964720468890892,0.019269885451236483,0.021193756982695624,0.004526497728927097,0.03964720468890892,0.019269885451236483,0.0,0.0,0.0,0.0,36,11,margin_keep_core,0,0,0,-0.2664118707180023,0.7591918110847473,0.7374957203865051,0.7591918110847473,0.7374957203865051,0.021696090698242188,0.9776816368103027,0.9773953557014465,0.00028628110885620117,1,0.11882084608078003,0.3386799097061157,0.00015944160008503553,0.00015944160008503553,4,1,0.6949424601346139,0.0,0.0,0.0,0.9773953557014465,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/101
102,0.08568740760627419,-0.013268953399235579,0.49452445605472106,0.2733993583484447,0.08568740760627419,-0.013268953399235579,0.49452445605472106,0.2733993583484447,0.0,0.0,0.0,0.0,36,12,v9_keep,0,0,0,-0.6636284589767456,0.6636284589767456,0.6611435413360596,0.6636284589767456,0.6611435413360596,0.002484917640686035,0.00044146785512566566,0.000224096147576347,0.00021737170754931867,5,0.12755414843559265,0.3662503957748413,0.053409821472726375,0.053409821472726375,0,1,0.8691539081400332,0.0,0.0,0.0,0.00017867346468847245,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/102
103,0.6930710008539498,0.315835159032185,0.2948837158719542,0.1524303073624017,0.6930710008539498,0.315835159032185,0.2948837158719542,0.1524303073624017,0.0,0.0,0.0,0.0,35,11,v9_keep,0,0,0,-0.5895174145698547,0.5895174145698547,0.4402933120727539,0.5895174145698547,0.4402933120727539,0.14922410249710083,1.4659079505818795e-10,6.847267891574305e-11,7.81181161424449e-11,1,0.12005510926246643,0.4123117923736572,0.49502050380785,0.49502050380785,0,1,0.22431290837151407,0.0,0.0,0.0,1.0803907599638196e-32,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/103
104,0.9109909909581625,0.947571053393505,1.0,0.9015452538631347,0.9109909909581625,0.947571053393505,1.0,0.9015452538631347,0.0,0.0,0.0,0.0,36,10,v9_keep,0,0,0,-0.2004895657300949,0.2004895657300949,0.18201880156993866,0.2004895657300949,0.18201880156993866,0.01847076416015625,5.928711948460785e-12,1.5248662365260433e-23,5.9287119484455366e-12,2,0.150292307138443,0.27617695927619934,0.04154877839088365,0.04154877839088365,0,1,0.02521362129693394,0.0,0.0,0.0,1.184818225076216e-33,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/104
106,0.9064406078682266,0.9257282923653868,0.7019550781855359,0.49848275862068964,0.9064406078682266,0.9257282923653868,0.7019550781855359,0.49848275862068964,0.0,0.0,0.0,0.0,37,13,v9_keep,0,0,0,-0.5589202642440796,0.5589202642440796,0.3716232478618622,0.5589202642440796,0.3716232478618622,0.1872970163822174,1.282309676753357e-05,8.562212272522629e-09,1.2814534555261048e-05,1,0.1341446340084076,0.4321076571941376,0.1370993924215018,0.1370993924215018,0,0,-0.06552874263385156,0.0,0.0,0.0,1.282309676753357e-05,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/106
107,0.3197788628828653,0.06469831712572058,0.46508250768858195,0.24764353041988005,0.3197788628828653,0.06469831712572058,0.46508250768858195,0.24764353041988005,0.0,0.0,0.0,0.0,36,11,margin_keep_core,0,0,0,-0.13034498691558838,0.7160234451293945,0.6493940353393555,0.7160234451293945,0.6493940353393555,0.06662940979003906,0.90848708152771,0.9084426164627075,4.4465065002441406e-05,1,0.1273694485425949,0.27482160925865173,0.3235715924736117,0.3235715924736117,5,1,0.6491687265145651,0.0,0.0,0.0,0.9084426164627075,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/107
109,0.07255383063112533,-0.037832487380717046,0.01534624976021485,0.014150347441566645,0.07255383063112533,-0.037832487380717046,0.01534624976021485,0.014150347441566645,0.0,0.0,0.0,0.0,37,11,v9_keep,0,0,0,-0.5692949891090393,0.5692949891090393,0.5602613091468811,0.5692949891090393,0.5602613091468811,0.009033679962158203,1.1348704128408358e-14,3.920240798158109e-16,1.0956680048592547e-14,3,0.1368659883737564,0.3768180012702942,0.044942767755109685,0.044942767755109685,0,1,0.5084330267831203,0.0,0.0,0.0,4.892674888758265e-18,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/109
118,0.8965870307065233,0.9208323650544092,0.9087366869474028,0.6938306522891993,0.8965870307065233,0.9208323650544092,0.9087366869474028,0.6938306522891993,0.0,0.0,0.0,0.0,35,11,v9_keep,0,0,0,-0.4241567552089691,0.4241567552089691,0.4134482145309448,0.4241567552089691,0.4134482145309448,0.010708540678024292,0.05111756920814514,2.8599880750636387e-23,0.05111756920814514,4,0.15498870611190796,0.24211126565933228,0.14565707318875384,0.14565707318875384,0,0,-0.008267955598948884,0.0,0.0,0.0,0.05111756920814514,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/118
12,0.8899389811241949,0.7773060546850201,0.40413134550078916,0.23609477398756512,0.8899389811241949,0.7773060546850201,0.40413134550078916,0.23609477398756512,0.0,0.0,0.0,0.0,36,11,v9_keep,0,0,0,-0.4280931353569031,0.4280931353569031,0.41120561957359314,0.4280931353569031,0.41120561957359314,0.016887515783309937,2.7298043992905925e-14,1.6515638140944533e-14,1.0782405851961392e-14,2,0.131611168384552,0.36624494194984436,0.5389677866297194,0.5389677866297194,0,0,-0.24248078543785456,0.0,0.0,0.0,1.2370850890587165e-34,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/12
121,0.13438905180788116,0.06926251732338394,0.13126940597874123,0.06453768038482095,0.13438905180788116,0.06926251732338394,0.13126940597874123,0.06453768038482095,0.0,0.0,0.0,0.0,37,12,v9_keep,0,0,0,-0.7419121265411377,0.7419121265411377,0.7105846405029297,0.7419121265411377,0.7105846405029297,0.03132748603820801,4.992408222936895e-11,7.164191657450802e-13,4.920766306362387e-11,1,0.14314045011997223,0.34862881898880005,0.052396824630050076,0.052396824630050076,0,1,0.7844886690249435,0.0,0.0,0.0,4.992408222936895e-11,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/121
