proposal_source,retrained_modules,full256_miou,full256_ari,common253_miou,common253_ari,notes
"released_dense_bank_official0p3","none",0.4611,0.6966,0.4645,0.7013,"main-paper release"
"sam21large_dense_bank_swap","none",0.5003371590535929,0.7048398879913947,0.5005039950662153,0.7105942002152768,"same frozen consolidation; inference-time dense source swap only"
