image_id,proposal_count,single_candidate_count,single_iou,single_ari,single_index,component_candidate_count,component_iou,component_ari,component_index,topk_candidate_count,topk_iou,topk_ari,topk_index,rescue_candidate_count,rescue_iou,rescue_ari,rescue_index,rescue_idx_dense,core_iou,core_ari,final_iou,final_ari,upper_candidate_count,upper_iou,upper_ari,upper_index,gain_single_vs_core_iou,gain_component_vs_core_iou,gain_topk_vs_core_iou,gain_rescue_vs_core_iou,gain_upper_vs_final_iou,gain_upper_vs_final_ari
1,36,36,0.9656160458368879,0.9705745949358597,24,1,0.8009643554675279,-0.033161941372575165,0,5,0.9694583837950383,0.973820374380142,4,12,0.9694583837950383,0.973820374380142,10,10,0.9693516360099339,0.9736988820612307,0.9693516360099339,0.9736988820612307,50,0.9694583837950383,0.973820374380142,42,-0.003735590173046033,-0.16838728054240604,0.00010674778510444405,0.00010674778510444405,0.00010674778510444405,0.0001214923189113426
101,36,36,0.8403220025891426,0.6777109653253773,30,2,0.834407586134261,0.72276286245506,0,5,0.08637502539416816,0.023073849796279154,4,11,0.7161362329600022,0.5527884294509362,0,0,0.021193756982695624,0.004526497728927097,0.021193756982695624,0.004526497728927097,50,0.8403220025891426,0.6777109653253773,31,0.8191282456064469,0.8132138291515654,0.06518126841147254,0.6949424759773065,0.8191282456064469,0.6731844675964502
102,36,36,0.942829509427374,0.8743206682442599,31,1,0.579523523269245,0.021047853729752212,0,5,0.9548413017250439,0.8997249145143236,4,12,0.9548413017250439,0.8997249145143236,10,10,0.08568740760627419,-0.013268953399235579,0.08568740760627419,-0.013268953399235579,50,0.9548413017250439,0.8997249145143236,42,0.8571421018210998,0.49383611566297075,0.8691538941187698,0.8691538941187698,0.8691538941187698,0.9129938679135592
103,35,35,0.9175205947311758,0.8992310613395825,31,1,0.7115936279286017,-0.0019209707728943556,0,4,0.9173839096999568,0.9010990474372466,2,11,0.9173839096999568,0.9010990474372466,8,8,0.6930710008539498,0.315835159032185,0.6930710008539498,0.315835159032185,48,0.9175205947311758,0.8992310613395825,32,0.22444959387722596,0.01852262707465191,0.22431290884600696,0.22431290884600696,0.22444959387722596,0.5833959023073976
104,36,36,0.911447084200452,0.9478429657517741,27,1,0.953491210936045,-0.010801702087315727,0,4,0.9266059281588743,0.1399166156847548,3,10,0.9362046335567653,-0.02260274811085646,9,9,0.9109909909581625,0.947571053393505,0.9109909909581625,0.947571053393505,48,0.953491210936045,-0.010801702087315727,37,0.000456093242289457,0.04250021997788256,0.015614937200711831,0.025213642598602815,0.04250021997788256,-0.9583727554808207
106,37,37,0.900145924526786,0.9209335485005253,35,1,0.8466339111315206,-0.011543987651676966,0,5,0.8367767333971606,-0.025529855908580867,4,13,0.8409118652330919,-0.019876048699765222,12,12,0.9064406078682266,0.9257282923653868,0.9064406078682266,0.9257282923653868,52,0.9064406078682266,0.9257282923653868,0,-0.006294683341440566,-0.05980669673670591,-0.06966387447106592,-0.06552874263513464,0.0,0.0
107,36,36,0.46924285794334275,0.17726001115452944,27,1,0.9685984953999203,0.9323928187549783,0,4,0.24729915537153155,0.02893189274091607,3,11,0.9689475745510856,0.9333955933508156,10,10,0.3197788628828653,0.06469831712572058,0.3197788628828653,0.06469831712572058,49,0.9689475745510856,0.9333955933508156,48,0.14946399506047747,0.648819632517055,-0.07247970751133373,0.6491687116682203,0.6491687116682203,0.868697276225095
109,37,37,0.624826603679283,0.4755836946667629,33,1,0.5852620720769369,-0.0033092287588099827,0,4,0.5809868843424264,0.19108964829525873,3,11,0.5809868843424264,0.19108964829525873,9,9,0.07255383063112533,-0.037832487380717046,0.07255383063112533,-0.037832487380717046,50,0.624826603679283,0.4755836946667629,34,0.5522727730481577,0.5127082414458116,0.5084330537113011,0.5084330537113011,0.5522727730481577,0.51341618204748
118,35,35,0.905456151967026,0.9268982096198893,30,1,0.7140197753895355,-0.10307818649658886,0,5,0.888319088308965,0.9144307727764364,0,11,0.888319088308965,0.9144307727764364,5,5,0.8965870307065233,0.9208323650544092,0.8965870307065233,0.9208323650544092,48,0.905456151967026,0.9268982096198893,31,0.008869121260502655,-0.1825672553169878,-0.008267942397558348,-0.008267942397558348,0.008869121260502655,0.006065844565480094
12,36,36,0.9454382272810552,0.8952878456705742,31,1,0.5028439497255393,-0.001617812270686674,0,5,0.647458222363407,0.3997871416593666,4,11,0.647458222363407,0.3997871416593666,9,9,0.8899389811241949,0.7773060546850201,0.8899389811241949,0.7773060546850201,49,0.9454382272810552,0.8952878456705742,32,0.055499246156860305,-0.38709503139865564,-0.2424807587607879,-0.2424807587607879,0.055499246156860305,0.11798179098555406
