method,full256_miou,full256_ari,full256_num_pred_image_ids,common253_miou,common253_ari,common253_num_pred_image_ids
final_release,0.46110414433944885,0.6965752621397988,256,0.46446892972081827,0.7013057021572455,253
core_v9,0.45426016312202716,0.6786438598939043,256,0.4557919994314633,0.6812081078590664,253
single_proposal_oracle,0.5134262478794396,0.8123992417309638,256,0.514209938816253,0.8146189270673125,253
compatible_component_oracle,0.47385084904743185,0.25106572780236197,256,0.4747939069723877,0.24969305515321025,253
topk_union_oracle,0.49405365099814025,0.7079701188853323,256,0.4963966311680046,0.7107342841452078,253
rescue_candidate_oracle,0.507607079283865,0.7331994426910619,256,0.5093060510838788,0.7352345140394765,253
bank_upper_bound_oracle,0.5177556492989676,0.8566286642693054,256,0.518338016153186,0.8579737278146125,253
