image_id,in_common182,proposal_count,single_candidate_count,component_candidate_count,topk_candidate_count,upper_candidate_count,final_iou,final_ari,single_iou,single_ari,component_iou,component_ari,topk_iou,topk_ari,upper_iou,upper_ari
1,True,3,3,1,2,7,0.0011147600253047067,-0.021551940518555867,0.000770653514177649,-0.02767868056765211,0.0005820263956826508,0.8146969293729313,0.0009531716016328346,-0.02697112610140334,0.0011147600253047067,-0.021551940518555867
2,True,3,3,1,2,7,0.9579545454389943,0.9717171509294482,0.9527059970591142,0.9681512409219815,0.09392963368198935,-0.013172835395579202,0.09415902484446953,-0.015596597918023238,0.9579545454389943,0.9717171509294482
3,True,1,1,1,0,2,0.862230827900826,0.851307088618113,0.8735235326132804,0.8662423093252175,0.862230827900826,0.851307088618113,0.0,0.0,0.8735235326132804,0.8662423093252175
4,True,1,1,1,0,2,0.9524322383602148,0.9687893246264039,0.9491373112697855,0.9666053438747232,0.9524322383602148,0.9687893246264039,0.0,0.0,0.9524322383602148,0.9687893246264039
5,True,3,3,2,2,7,0.9761273209468159,0.9790695848954836,0.9738567515895604,0.9770923524382759,0.9761273209468159,0.9790695848954836,0.19023069565327524,-0.045993327847360196,0.9761273209468159,0.9790695848954836
6,False,0,0,0,0,1,0.40709182323150517,0.36375552066866856,0.0,0.0,0.0,0.0,0.0,0.0,0.40709182323150517,0.36375552066866856
7,True,1,1,1,0,2,0.003248102707773513,0.912661675930875,0.0014928891333362256,0.800022373221014,0.003248102707773513,0.912661675930875,0.0,0.0,0.003248102707773513,0.912661675930875
8,True,2,2,1,1,5,0.940107775197227,0.9589097481479572,0.937461491051487,0.957070285115618,0.1005350429748693,-0.02477750711656279,0.09839617150601696,-0.0015623421783746033,0.940107775197227,0.9589097481479572
9,True,3,3,1,2,7,0.9312572820626456,0.9192275468086532,0.9215717467338976,0.9081109051113235,0.287017822265187,0.0,0.27666000723579626,0.01734221966487657,0.9312572820626456,0.9192275468086532
10,False,0,0,0,0,1,0.27826921027093393,0.3401785886570505,0.0,0.0,0.0,0.0,0.0,0.0,0.27826921027093393,0.3401785886570505
11,True,1,1,1,0,2,0.0010105031080594956,-0.06468314457753463,0.000971817298344864,-0.06964966823172637,0.0010105031080594956,-0.06468314457753463,0.0,0.0,0.0010105031080594956,-0.06468314457753463
12,True,2,2,2,1,5,0.9592651757035261,0.9724843790663955,0.9590334453359093,0.9723399206455949,0.9592651757035261,0.9724843790663955,0.09436893813350329,-0.006634403567101147,0.9592651757035261,0.9724843790663955
13,True,2,2,1,1,5,0.9173313077488627,0.9393420518094786,0.9099556119098293,0.9338671347354233,0.15681756289637636,-0.07266605697850988,0.15805344015460215,-0.05495696195419555,0.9173313077488627,0.9393420518094786
14,True,2,2,1,1,5,0.8468818247895306,0.8842576241627627,0.8552047360525998,0.8913409949038922,0.1409720694960894,-0.07751534541124568,0.15851679125766746,-0.05091564027407442,0.8552047360525998,0.8913409949038922
15,True,2,2,2,1,5,0.869632963983901,0.8575616439933397,0.8671911152194169,0.8551686232902672,0.869632963983901,0.8575616439933397,0.23730881110969737,0.02146736010814435,0.869632963983901,0.8575616439933397
