image_id,in_common182,proposal_count,selected_index,selected_score,direct_iou,direct_ari
1,True,3,1,0.6982996463775635,0.0009056603773557564,-0.02214103404577428
2,True,3,0,0.5992177128791809,0.9579545454389943,0.9717171509294482
3,True,1,0,0.8069010376930237,0.862230827900826,0.851307088618113
4,True,1,0,0.8271538615226746,0.9524322383602148,0.9687893246264039
5,True,3,0,0.9454264640808105,0.9761273209468159,0.9790695848954836
6,False,0,-1,-inf,0.0,0.0
7,True,1,0,0.1282641887664795,0.003248102707773513,0.912661675930875
8,True,2,1,0.815541684627533,0.940107775197227,0.9589097481479572
9,True,3,0,0.7429002523422241,0.9312572820626456,0.9192275468086532
10,False,0,-1,-inf,0.0,0.0
11,True,1,0,0.8122016787528992,0.0010105031080594956,-0.06468314457753463
12,True,2,1,0.8567820191383362,0.9592651757035261,0.9724843790663955
13,True,2,0,0.8056493997573853,0.9173313077488627,0.9393420518094786
14,True,2,0,0.8343421816825867,0.8468818247895306,0.8842576241627627
15,True,2,1,0.8866291046142578,0.869632963983901,0.8575616439933397
16,True,1,0,0.7005568742752075,0.016713364175381648,0.6586096302047577
17,False,0,-1,-inf,0.0,0.0
18,True,1,0,0.872234046459198,0.8875945227785857,0.9100727054679404
19,True,2,1,0.8010437488555908,0.9323178262582764,0.9403330450425337
20,True,2,1,0.856533944606781,0.9347724073095404,0.9509809136025109
21,True,2,1,0.8262709379196167,0.9754017479491442,0.9762654427726115
22,True,2,1,0.751661479473114,0.90674422830564,0.9381540874636832
23,True,2,0,0.9037095308303833,0.9624064724073094,0.9599768311208251
24,True,2,1,0.8708001375198364,0.0,-0.06994660983591812
25,True,1,0,0.8426694273948669,0.922245788143094,0.8843404513475457
26,True,2,1,0.9483410716056824,0.980222496899668,0.9844336917653151
27,True,3,0,0.5413318872451782,4.867127421387996e-05,0.7115307950242453
28,True,2,1,0.8283541798591614,0.4200750133877465,0.5379614010920644
29,True,2,1,0.9100314974784851,0.9426645930436218,0.9547719786972961
30,True,2,0,0.7988319396972656,0.8383600376904057,0.8763862119167186
31,True,2,1,0.8984798789024353,0.9549988791697209,0.949159037968638
32,True,2,1,0.899270236492157,0.8386058117939418,0.8554405448877983
33,False,0,-1,-inf,0.0,0.0
34,True,2,0,0.8936237692832947,0.8849918433828362,0.9125297301914341
35,True,3,0,0.8985247611999512,0.9204175180818445,0.9096120607527791
36,True,2,1,0.8680263161659241,0.46694610777883894,0.5548420251166791
37,True,2,1,0.8719474077224731,0.9389451412885153,0.9578696629015325
38,False,0,-1,-inf,0.0,0.0
39,True,2,1,0.8750523924827576,0.8895235375273001,0.8600237095968927
40,True,1,0,0.7459067106246948,0.00033876158443550523,0.06641008513804879
41,True,2,1,0.4288184940814972,0.8915824915224523,0.9390151252476359
42,True,2,0,0.9090278744697571,7.541762509870124e-05,-0.07194050611237561
43,True,2,1,0.8407520055770874,0.34292525114348843,0.4540236538804568
44,True,2,1,0.903890073299408,0.9221320712089008,0.9404420145035143
45,True,2,0,0.7675586342811584,0.43401109056499054,0.5535542386828743
46,True,2,1,0.8612627983093262,0.9448474065834837,0.9608124837444927
47,True,2,0,0.8201307654380798,0.9445447087621897,0.9626682895933054
48,True,2,1,0.8618669509887695,0.9242296918638063,0.9463005358830028
49,True,2,1,0.8585042357444763,0.0,-0.015595449200592124
50,True,1,0,0.47383978962898254,0.0007852128712081517,0.6610492884237094
51,True,2,1,0.9271861910820007,0.9342058298520617,0.9508109119709012
52,True,2,1,0.9288946986198425,0.9362696029206495,0.9571911198847101
53,True,3,2,0.7468695640563965,0.002506265664154182,0.03271969481653412
54,True,2,1,0.7265447378158569,0.8912053258428311,0.9268474784001092
55,True,1,0,0.8375757336616516,0.8619519094644703,0.9009386561700363
56,True,2,1,0.8468388915061951,0.9040500608221094,0.9356176901121374
57,True,3,1,0.9431928396224976,0.9602286450289008,0.9645441004060705
58,True,1,0,0.12785638868808746,9.614768284068945e-05,0.6246845734341508
59,True,1,0,0.26178932189941406,0.04658743215601933,0.7457204393723438
60,True,2,1,0.8930245041847229,0.8226573426515897,0.8288640911260908
61,True,2,1,0.8499409556388855,0.7926405558939886,0.8526134425626339
62,True,1,0,0.8314628601074219,0.8791578947245031,0.9134422615562277
63,True,1,0,0.8009920716285706,0.8756476683827165,0.9078523158929186
